TimeStamp,User,Message
"['08/10/16, 05:11']",['- Messages'],[]
"['08/10/16, 00:13']",['- Fruit'],[': Jags']
"['08/10/16, 05:23']",['- Jagannath'],[': Yo']
"['08/10/16, 21:56']",['- Jagannath'],[': <Media omitted>']
"['08/10/16, 21:56']",['- Jagannath'],[': <Media omitted>']
"['08/10/16, 21:56']",['- Jagannath'],[': Cam not bad eh?']
"['08/10/16, 22:35']",['- Fruit'],[': Which phone btw???']
"['09/10/16, 07:38']",['- Jagannath'],[': Generic aukaat phone']
"['09/10/16, 11:05']",['- Fruit'],[': Abbaa']
"['09/10/16, 11:05']",['- Fruit'],[': Peru untadi phone ki']
"['09/10/16, 11:32']",['- Jagannath'],[': Redmi 3s']
"['09/10/16, 17:02']",['- Jagannath'],[': Rey mini project']
"['09/10/16, 17:02']",['- Fruit'],[': Ante??']
"['09/10/16, 17:02']",['- Jagannath'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['09/10/16, 17:02']",['- Jagannath'],[': Biscuit only']
"['09/10/16, 17:02']",['- Fruit'],[': Yaa']
"['09/10/16, 17:03']",['- Fruit'],[': This week we will do']
"['09/10/16, 17:03']",['- Jagannath'],[': From here I have to so']
"['09/10/16, 17:03']",['- Fruit'],[': I will come one day suddenly to u r house']
"['09/10/16, 17:03']",['- Jagannath'],[': Do']
"['09/10/16, 17:03']",['- Jagannath'],[': Okay come to vizag']
"['09/10/16, 17:04']",['- Jagannath'],"["": I'm here till 15th""]"
"['09/10/16, 17:04']",['- Jagannath'],[': And 14th*']
"['09/10/16, 17:04']",['- Fruit'],[': Wjattt']
"['09/10/16, 17:04']",['- Jagannath'],"["": And 14th night I'm going to Bangalore""]"
"['09/10/16, 17:04']",['- Fruit'],[': Y did u go to vizag airport then??']
"['09/10/16, 17:04']",['- Fruit'],[': Y??']
"['09/10/16, 17:04']",['- Fruit'],[': Wtf why u tripping so badly']
"['09/10/16, 17:04']",['- Jagannath'],[': Time pass \xf0\x9f\x98\x82 Bangalore cause of that quiz finals']
"['09/10/16, 17:04']",['- Fruit'],[': Sir home idiot']
"['09/10/16, 17:04']",['- Jagannath'],[': Dad has an all airport pass']
"['09/10/16, 17:04']",['- Fruit'],[': Sit']
"['09/10/16, 17:05']",['- Jagannath'],[': Lel']
"['09/10/16, 17:05']",['- Jagannath'],[': Assignments chesava?']
"['09/10/16, 17:05']",['- Fruit'],[': Airport pass unte potava\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['09/10/16, 17:05']",['- Fruit'],[': Reyyyyy']
"['09/10/16, 17:05']",['- Fruit'],[': Mini proje']
"['09/10/16, 17:05']",['- Jagannath'],[': And he had to meet his friends there']
"['09/10/16, 17:05']",['- Jagannath'],[': Lel that ia']
"['09/10/16, 17:05']",['- Jagannath'],[': Is']
"['09/10/16, 17:05']",['- Fruit'],[': We will do work from home']
"['09/10/16, 17:05']",['- Jagannath'],[': K']
"['10/10/16, 14:04']",['- Fruit'],[': ']
"['12/10/16, 20:24']",['- Jagannath'],[': ChaRoJa']
"['12/10/16, 20:33']",['- Fruit'],[': \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84']
"['13/10/16, 06:23']",['- Jagannath'],[': Sup']
"['13/10/16, 11:05']",['- Fruit'],[': Nm']
"['13/10/16, 11:05']",['- Fruit'],[': Jus got up']
"['13/10/16, 18:26']",['- Jagannath'],[': Called him?']
"['13/10/16, 18:48']",['- Fruit'],[': Yo']
"['13/10/16, 19:00']",['- Fruit'],[': ']
"['14/10/16, 14:20']",['- Fruit'],[': ']
"['14/10/16, 14:20']",['- Fruit'],[': ']
"['14/10/16, 14:21']",['- Fruit'],[': ']
"['14/10/16, 14:21']",['- Fruit'],[': Areyy']
"['14/10/16, 14:21']",['- Fruit'],[': Qeeee assignment']
"['14/10/16, 14:21']",['- Fruit'],[': Ra']
"['14/10/16, 14:21']",['- Fruit'],[': Plis raa']
"['14/10/16, 14:22']",['- Jagannath'],[': \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82']
"['14/10/16, 14:47']",['- Fruit'],[': Send']
"['14/10/16, 14:47']",['- Jagannath'],[': one mun']
"['14/10/16, 14:47']",['- Fruit'],[': Rey qeee assignment']
"['14/10/16, 14:47']",['- Fruit'],[': Em one Mun??']
"['14/10/16, 14:47']",['- Jagannath'],[': sent']
"['14/10/16, 14:47']",['- Jagannath'],[': one min*']
"['14/10/16, 14:48']",['- Fruit'],[': To?']
"['14/10/16, 14:48']",['- Fruit'],[': Okay got']
"['17/10/16, 22:07']",['- Jagannath'],[': Bro']
"['17/10/16, 22:07']",['- Jagannath'],[': There?']
"['17/10/16, 22:31']",['- Fruit'],[': Yaa there']
"['17/10/16, 22:31']",['- Jagannath'],[': Sup']
"['17/10/16, 22:32']",['- Fruit'],[': C programs rastuna']
"['17/10/16, 22:32']",['- Fruit'],[': Trace it ki']
"['17/10/16, 22:32']",['- Jagannath'],[': Oh nice']
"['17/10/16, 22:32']",['- Fruit'],[': Have any ideas ??']
"['17/10/16, 22:32']",['- Fruit'],[': Supp??']
"['18/10/16, 18:57']",['- Jagannath'],[': bro']
"['18/10/16, 18:57']",['- Jagannath'],[': code is available online']
"['18/10/16, 19:00']",['- Jagannath'],[': http://www.igorsevo.com/Article.aspx?article=Text+file+compression+with+Huffman+algorithm']
"['18/10/16, 19:21']",['- Fruit'],[': Broo']
"['18/10/16, 19:22']",['- Fruit'],[': No bro']
"['18/10/16, 19:22']",['- Fruit'],[': No']
"['18/10/16, 19:22']",['- Fruit'],"["": That's cheating""]"
"['18/10/16, 19:22']",['- Jagannath'],"["": We'll learn from it""]"
"['18/10/16, 19:22']",['- Jagannath'],"["": It's huge""]"
"['18/10/16, 19:22']",['- Fruit'],[': Avnaa']
"['18/10/16, 19:22']",['- Fruit'],[': Okay we will se tomorrow then']
"['18/10/16, 19:22']",['- Jagannath'],[': Impossible for us to do it']
"['18/10/16, 19:22']",['- Jagannath'],"["": I'm completing encryption now""]"
"['18/10/16, 19:22']",['- Fruit'],[': Ohh']
"['18/10/16, 19:23']",['- Jagannath'],[': With files']
"['18/10/16, 19:23']",['- Fruit'],[': Good']
"['18/10/16, 19:23']",['- Fruit'],[': Ohh wow']
"['18/10/16, 19:23']",['- Jagannath'],"[': If you have time, read that link ka code']"
"['18/10/16, 19:23']",['- Jagannath'],[': I can understand you have tecstasy work']
"['18/10/16, 19:23']",['- Jagannath'],[': But yeah otherwise well do it tomorrow']
"['18/10/16, 19:23']",['- Fruit'],[': Yaa I will']
"['18/10/16, 19:23']",['- Fruit'],[': Karenge']
"['18/10/16, 19:23']",['- Fruit'],[': By 2 weeks we will complete']
"['18/10/16, 19:25']",['- Jagannath'],[': Op']
"['18/10/16, 19:25']",['- Jagannath'],[': Ok']
"['18/10/16, 19:25']",['- Fruit'],[': Hmm']
"['18/10/16, 19:26']",['- Jagannath'],[': Kya baap internal']
"['18/10/16, 19:26']",['- Jagannath'],[': Screwed up']
"['18/10/16, 19:26']",['- Fruit'],[': Yaa baap']
"['18/10/16, 19:26']",['- Fruit'],[': We will ask mam to give us also']
"['18/10/16, 19:26']",['- Fruit'],[': Prog']
"['18/10/16, 19:27']",['- Jagannath'],[': Shell kick us :p']
"['18/10/16, 19:27']",['- Fruit'],[': For atleast internal']
"['18/10/16, 19:27']",['- Jagannath'],[': <Media omitted>']
